Time,HR (bpm),Speed (km/h),Pace (min/km),Distances (m)
0 days 00:09:38,73,0.0,00:00,100.72
0 days 00:09:39,73,0.0,00:00,100.72
0 days 00:09:40,73,0.0,00:00,100.72
0 days 00:09:41,73,0.0,00:00,100.72
0 days 00:09:42,74,0.1,562:51,101.22
0 days 00:09:43,74,0.1,531:55,101.33
0 days 00:09:44,74,0.1,00:00,101.34
0 days 00:09:45,74,0.1,00:00,101.34
0 days 00:09:46,74,0.0,00:00,101.34
0 days 00:09:47,74,0.0,00:00,101.34
0 days 00:09:48,74,0.0,00:00,101.34
0 days 00:09:49,75,0.0,00:00,101.34
0 days 00:09:50,74,0.0,00:00,101.34
0 days 00:09:51,73,0.0,00:00,101.34
0 days 00:09:52,73,0.0,00:00,101.34
0 days 00:09:53,73,0.0,00:00,101.34
0 days 00:09:54,73,0.2,326:27,102.11
0 days 00:09:55,73,0.1,489:48,102.87
0 days 00:09:56,73,0.1,00:00,103.42
0 days 00:09:57,73,0.1,00:00,103.42
0 days 00:09:58,72,0.2,362:45,104.01
0 days 00:09:59,72,0.1,543:58,104.11
0 days 00:10:00,72,0.1,00:00,104.11
0 days 00:10:01,74,0.2,375:56,104.25
0 days 00:10:02,75,0.3,229:32,104.34
0 days 00:10:03,76,0.2,344:14,104.41
0 days 00:10:04,77,0.1,516:21,104.41
0 days 00:10:05,78,0.1,00:00,104.41
0 days 00:10:06,79,0.1,00:00,104.41
0 days 00:10:07,80,0.0,00:00,104.41
0 days 00:10:08,80,0.0,00:00,104.41
0 days 00:10:09,81,0.2,393:42,104.62
0 days 00:10:10,81,0.2,276:07,104.73
0 days 00:10:11,81,0.3,189:31,104.8
0 days 00:10:12,80,0.3,192:30,104.93
0 days 00:10:13,81,0.2,288:44,104.99
0 days 00:10:14,82,0.1,433:13,104.99
0 days 00:10:15,82,0.1,00:00,104.99
0 days 00:10:16,82,0.2,361:53,105.16
0 days 00:10:17,82,0.2,264:26,105.17
0 days 00:10:18,79,0.2,270:09,105.27
0 days 00:10:19,79,0.1,405:08,105.35
0 days 00:10:20,78,0.1,00:00,105.41
0 days 00:10:21,78,0.2,395:15,105.45
0 days 00:10:22,78,0.1,592:53,105.53
0 days 00:10:23,78,0.1,00:00,105.59
0 days 00:10:24,78,0.1,00:00,105.7
0 days 00:10:25,77,0.1,00:00,105.73
0 days 00:10:26,77,0.0,00:00,105.82
0 days 00:10:27,76,0.1,484:39,105.87
0 days 00:10:28,75,0.1,00:00,105.92
0 days 00:10:29,75,0.1,00:00,105.92
0 days 00:10:30,75,0.1,533:20,105.95
0 days 00:10:31,76,0.1,00:00,106.02
0 days 00:10:32,77,0.1,00:00,106.02
0 days 00:10:33,77,0.0,00:00,106.02
0 days 00:10:34,78,0.0,00:00,106.02
0 days 00:10:35,78,0.0,00:00,106.02
0 days 00:10:36,77,0.0,00:00,106.02
0 days 00:10:37,70,0.0,00:00,106.02
0 days 00:10:38,70,0.0,00:00,106.02
0 days 00:10:39,71,0.0,00:00,106.02
0 days 00:10:40,72,0.0,00:00,106.02
0 days 00:10:41,73,0.0,00:00,106.02
0 days 00:10:42,73,0.0,00:00,106.02
0 days 00:10:43,72,0.0,00:00,106.02
0 days 00:10:44,72,0.0,00:00,106.02
0 days 00:10:45,71,0.0,00:00,106.02
0 days 00:10:46,70,0.0,00:00,106.02
0 days 00:10:47,70,0.0,00:00,106.02
0 days 00:10:48,71,0.0,00:00,106.02
0 days 00:10:49,72,0.0,00:00,106.02
0 days 00:10:50,73,0.0,00:00,106.02
0 days 00:10:51,73,0.1,536:12,106.78
0 days 00:10:52,74,0.1,00:00,107.19
0 days 00:10:53,74,0.0,00:00,107.19
0 days 00:10:54,74,0.0,00:00,107.19
0 days 00:10:55,74,0.1,481:56,107.35
0 days 00:10:56,75,0.1,00:00,107.39
0 days 00:10:57,76,0.1,00:00,107.39
0 days 00:10:58,76,0.0,00:00,107.39
0 days 00:10:59,76,0.0,00:00,107.39
0 days 00:11:00,77,0.0,00:00,107.39
0 days 00:11:01,78,0.1,00:00,107.58
0 days 00:11:02,78,0.2,313:39,107.65
0 days 00:11:03,78,0.3,192:04,107.74
0 days 00:11:04,78,0.3,187:55,107.81
0 days 00:11:05,78,0.3,229:53,107.89
0 days 00:11:06,78,0.3,230:14,107.95
0 days 00:11:07,78,0.3,197:18,107.96
0 days 00:11:08,78,0.3,184:30,108.01
0 days 00:11:09,78,0.2,276:45,108.05
0 days 00:11:10,78,0.1,415:13,108.05
0 days 00:11:11,78,0.2,299:24,108.17
0 days 00:11:12,77,0.2,276:22,108.23
0 days 00:11:13,76,0.2,282:37,108.3
0 days 00:11:14,76,0.1,424:02,108.33
0 days 00:11:15,76,0.2,293:41,108.4
0 days 00:11:16,75,0.3,239:08,108.61
0 days 00:11:17,75,0.2,358:38,108.8
0 days 00:11:18,74,0.1,538:07,108.8
0 days 00:11:19,75,0.1,00:00,108.8
0 days 00:11:20,75,0.0,00:00,108.8
0 days 00:11:21,76,0.0,00:00,108.8
0 days 00:11:22,76,0.0,00:00,108.8
0 days 00:11:23,76,0.0,00:00,108.8
0 days 00:11:24,76,0.0,00:00,108.8
0 days 00:11:25,76,0.0,00:00,108.8
0 days 00:11:26,77,0.0,00:00,109.56
0 days 00:11:27,77,0.0,00:00,110.32
0 days 00:11:28,77,0.4,165:59,110.72
0 days 00:11:29,77,0.3,189:31,111.12
0 days 00:11:30,77,0.2,284:14,111.18
0 days 00:11:31,77,0.1,426:26,111.18
0 days 00:11:32,78,0.1,00:00,111.18
0 days 00:11:33,79,0.1,00:00,111.18
0 days 00:11:34,80,0.0,00:00,111.18
0 days 00:11:35,80,0.0,00:00,111.18
0 days 00:11:36,81,0.0,00:00,111.18
0 days 00:11:37,82,0.0,00:00,111.18
0 days 00:11:38,82,0.0,00:00,111.18
0 days 00:11:39,82,0.0,00:00,111.18
0 days 00:11:40,83,0.0,00:00,111.18
0 days 00:11:41,83,0.0,00:00,111.18
0 days 00:11:42,83,0.0,00:00,111.18
0 days 00:11:43,84,0.0,00:00,111.18
0 days 00:11:44,85,0.0,00:00,111.18
0 days 00:11:45,85,0.0,00:00,111.18
0 days 00:11:46,85,0.0,00:00,111.18
0 days 00:11:47,85,0.0,00:00,111.18
0 days 00:11:48,85,0.0,00:00,111.18
0 days 00:11:49,85,0.0,00:00,111.18
0 days 00:11:50,85,0.0,00:00,111.18
0 days 00:11:51,85,0.0,00:00,111.18
0 days 00:11:52,86,0.0,00:00,111.18
0 days 00:11:53,85,0.0,00:00,111.18
0 days 00:11:54,85,0.0,00:00,111.18
0 days 00:11:55,85,0.0,00:00,111.18
0 days 00:11:56,83,0.0,00:00,111.18
0 days 00:11:57,83,0.0,00:00,111.18
0 days 00:11:58,83,0.0,00:00,111.18
0 days 00:11:59,83,0.0,00:00,111.18
0 days 00:12:00,83,0.0,00:00,111.18
0 days 00:12:01,82,0.0,00:00,111.18
0 days 00:12:02,82,0.0,00:00,111.18
0 days 00:12:03,83,0.0,00:00,111.18
0 days 00:12:04,83,0.0,00:00,111.18
0 days 00:12:05,83,0.0,00:00,111.18
0 days 00:12:06,83,0.0,00:00,111.18
0 days 00:12:07,83,0.0,00:00,111.18
0 days 00:12:08,83,0.0,00:00,111.18
0 days 00:12:09,82,0.0,00:00,111.18
0 days 00:12:10,82,0.0,00:00,111.18
0 days 00:12:11,82,0.0,00:00,111.18
0 days 00:12:12,81,0.0,00:00,111.18
0 days 00:12:13,81,0.0,00:00,111.18
0 days 00:12:14,81,0.0,00:00,111.18
0 days 00:12:15,81,0.0,00:00,111.18
0 days 00:12:16,81,0.0,00:00,111.18
0 days 00:12:17,81,0.0,00:00,111.18
0 days 00:12:18,82,0.0,00:00,111.18
0 days 00:12:19,82,0.0,00:00,111.18
0 days 00:12:20,82,0.0,00:00,111.18
0 days 00:12:21,82,0.0,00:00,111.18
0 days 00:12:22,82,0.0,00:00,111.18
0 days 00:12:23,82,0.0,00:00,111.18
0 days 00:12:24,82,0.0,00:00,111.18
0 days 00:12:25,82,0.0,00:00,111.18
0 days 00:12:26,82,0.0,00:00,111.18
0 days 00:12:27,82,0.0,00:00,111.18
0 days 00:12:28,82,0.0,00:00,111.18
0 days 00:12:29,81,0.0,00:00,111.18
0 days 00:12:30,82,0.0,00:00,111.18
0 days 00:12:31,82,0.0,00:00,111.18
0 days 00:12:32,82,0.0,00:00,111.18
0 days 00:12:33,83,0.0,00:00,111.18
0 days 00:12:34,84,0.0,00:00,111.18
0 days 00:12:35,84,0.0,00:00,111.18
0 days 00:12:36,83,0.0,00:00,111.18
0 days 00:12:37,83,0.0,00:00,111.18
0 days 00:12:38,82,0.0,00:00,111.18
0 days 00:12:39,82,0.0,00:00,111.18
0 days 00:12:40,82,0.0,00:00,111.18
0 days 00:12:41,83,0.1,00:00,111.94
0 days 00:12:42,83,0.0,00:00,112.02
0 days 00:12:43,84,0.0,00:00,112.02
0 days 00:12:44,84,0.0,00:00,112.02
0 days 00:12:45,84,0.0,00:00,112.02
0 days 00:12:46,84,0.0,00:00,112.02
0 days 00:12:47,84,0.0,00:00,112.02
0 days 00:12:48,83,0.0,00:00,112.17
0 days 00:12:49,83,0.0,00:00,112.17
0 days 00:12:50,84,0.0,00:00,112.17
0 days 00:12:51,84,0.0,00:00,112.17
0 days 00:12:52,84,0.0,00:00,112.17
0 days 00:12:53,84,0.0,00:00,112.17
0 days 00:12:54,84,0.0,00:00,112.17
0 days 00:12:55,84,0.0,00:00,112.17
0 days 00:12:56,84,0.0,00:00,112.17
0 days 00:12:57,83,0.0,00:00,112.17
0 days 00:12:58,83,0.0,00:00,112.17
0 days 00:12:59,83,0.0,00:00,112.17
0 days 00:13:00,82,0.0,00:00,112.17
0 days 00:13:01,82,0.0,00:00,112.17
0 days 00:13:02,82,0.0,00:00,112.17
0 days 00:13:03,82,0.0,00:00,112.17
0 days 00:13:04,82,0.0,00:00,112.17
0 days 00:13:05,82,0.0,00:00,112.17
0 days 00:13:06,82,0.0,00:00,112.94
0 days 00:13:07,82,0.1,00:00,113.7
0 days 00:13:08,82,0.1,00:00,114.46
0 days 00:13:09,82,0.1,00:00,115.22
0 days 00:13:10,82,0.1,00:00,115.26
0 days 00:13:11,82,0.0,00:00,115.26
0 days 00:13:12,83,0.0,00:00,115.26
0 days 00:13:13,83,0.1,00:00,116.03
0 days 00:13:14,83,0.0,00:00,116.05
0 days 00:13:15,83,0.0,00:00,116.05
0 days 00:13:16,82,0.0,00:00,116.35
0 days 00:13:17,82,0.0,00:00,116.45
0 days 00:13:18,81,0.1,00:00,116.51
0 days 00:13:19,82,0.1,00:00,116.54
0 days 00:13:20,82,0.2,373:22,116.64
0 days 00:13:21,82,0.1,560:13,116.67
0 days 00:13:22,82,0.1,00:00,116.67
0 days 00:13:23,81,0.0,00:00,116.67
0 days 00:13:24,81,0.1,00:00,117.43
0 days 00:13:25,81,0.1,561:16,117.77
0 days 00:13:26,81,0.1,00:00,117.97
0 days 00:13:27,82,0.0,00:00,117.97
0 days 00:13:28,82,0.0,00:00,117.97
0 days 00:13:29,82,0.0,00:00,118.41
0 days 00:13:30,83,0.0,00:00,118.42
0 days 00:13:31,83,0.0,00:00,118.42
0 days 00:13:32,83,0.0,00:00,118.42
0 days 00:13:33,82,0.0,00:00,118.42
0 days 00:13:34,82,0.0,00:00,118.42
0 days 00:13:35,82,0.0,00:00,119.08
0 days 00:13:36,82,0.0,00:00,119.08
0 days 00:13:37,81,0.0,00:00,119.08
0 days 00:13:38,79,0.0,00:00,119.08
0 days 00:13:39,78,0.0,00:00,119.08
0 days 00:13:40,77,0.0,00:00,119.08
0 days 00:13:41,77,0.1,00:00,119.46
0 days 00:13:42,76,0.2,280:46,119.48
0 days 00:13:43,76,0.1,421:21,119.51
0 days 00:13:44,75,0.1,00:00,119.51
0 days 00:13:45,75,0.1,00:00,119.51
0 days 00:13:46,75,0.0,00:00,119.51
0 days 00:13:47,75,0.0,00:00,119.51
0 days 00:13:48,75,0.0,00:00,119.51
0 days 00:13:49,76,0.0,00:00,119.51
0 days 00:13:50,76,0.0,00:00,119.51
0 days 00:13:51,76,0.0,00:00,119.51
0 days 00:13:52,76,0.0,00:00,119.51
0 days 00:13:53,76,0.0,00:00,119.51
0 days 00:13:54,77,0.0,00:00,119.51
0 days 00:13:55,77,0.0,00:00,119.51
0 days 00:13:56,76,0.0,00:00,119.51
0 days 00:13:57,76,0.0,00:00,119.51
0 days 00:13:58,76,0.0,00:00,119.51
0 days 00:13:59,76,0.0,00:00,119.51
0 days 00:14:00,77,0.0,00:00,119.51
0 days 00:14:01,78,0.0,00:00,119.51
0 days 00:14:02,78,0.0,00:00,119.51
0 days 00:14:03,79,0.0,00:00,119.51
0 days 00:14:04,78,0.0,00:00,119.51
0 days 00:14:05,77,0.0,00:00,119.51
0 days 00:14:06,77,0.0,00:00,119.51
0 days 00:14:07,77,0.0,00:00,119.51
0 days 00:14:08,78,0.0,00:00,119.51
0 days 00:14:09,78,0.0,00:00,119.51
0 days 00:14:10,79,0.0,00:00,119.51
0 days 00:14:11,79,0.0,00:00,119.51
0 days 00:14:12,79,0.0,00:00,119.51
0 days 00:14:13,79,0.0,00:00,119.51
0 days 00:14:14,79,0.0,00:00,119.51
0 days 00:14:15,79,0.0,00:00,119.51
0 days 00:14:16,79,0.0,00:00,119.51
0 days 00:14:17,79,0.0,00:00,119.51
0 days 00:14:18,79,0.0,00:00,119.51
0 days 00:14:19,79,0.0,00:00,119.51
0 days 00:14:20,80,0.0,00:00,119.51
0 days 00:14:21,80,0.0,00:00,119.51
0 days 00:14:22,80,0.0,00:00,119.51
0 days 00:14:23,80,0.0,00:00,119.51
0 days 00:14:24,79,0.0,00:00,119.51
0 days 00:14:25,78,0.0,00:00,119.51
0 days 00:14:26,78,0.0,00:00,119.51
0 days 00:14:27,78,0.0,00:00,119.51
0 days 00:14:28,78,0.0,00:00,119.51
0 days 00:14:29,79,0.0,00:00,119.51
0 days 00:14:30,79,0.0,00:00,119.51
0 days 00:14:31,79,0.0,00:00,119.51
0 days 00:14:32,78,0.0,00:00,119.51
0 days 00:14:33,78,0.0,00:00,119.51
0 days 00:14:34,78,0.0,00:00,119.51
0 days 00:14:35,78,0.0,00:00,119.51
0 days 00:14:36,79,0.0,00:00,119.51
0 days 00:14:37,79,0.0,00:00,119.51
0 days 00:14:38,79,0.0,00:00,119.51
0 days 00:14:39,79,0.0,00:00,119.51
0 days 00:14:40,79,0.0,00:00,119.51
0 days 00:14:41,78,0.0,00:00,119.51
0 days 00:14:42,78,0.0,00:00,119.51
0 days 00:14:43,78,0.0,00:00,119.51
0 days 00:14:44,79,0.0,00:00,119.51
0 days 00:14:45,79,0.0,00:00,119.51
0 days 00:14:46,80,0.0,00:00,119.51
0 days 00:14:47,80,0.0,00:00,119.51
0 days 00:14:48,80,0.0,00:00,119.51
0 days 00:14:49,80,0.0,00:00,119.51
0 days 00:14:50,80,0.0,00:00,119.51
0 days 00:14:51,79,0.0,00:00,120.27
0 days 00:14:52,79,0.0,00:00,120.64
0 days 00:14:53,80,0.0,00:00,120.64
0 days 00:14:54,80,0.0,00:00,120.64
0 days 00:14:55,81,0.0,00:00,120.64
0 days 00:14:56,82,0.0,00:00,120.64
0 days 00:14:57,82,0.0,00:00,120.64
0 days 00:14:58,82,0.0,00:00,120.64
0 days 00:14:59,82,0.0,00:00,120.64
0 days 00:15:00,82,0.0,00:00,120.64
0 days 00:15:01,81,0.0,00:00,120.64
0 days 00:15:02,81,0.0,00:00,120.64
0 days 00:15:03,81,0.0,00:00,120.64
0 days 00:15:04,82,0.0,00:00,120.64
0 days 00:15:05,82,0.0,00:00,120.64
0 days 00:15:06,82,0.0,00:00,120.64
0 days 00:15:07,82,0.0,00:00,120.64
0 days 00:15:08,81,0.0,00:00,120.64
0 days 00:15:09,81,0.0,00:00,120.64
0 days 00:15:10,81,0.0,00:00,120.64
0 days 00:15:11,80,0.0,00:00,120.64
0 days 00:15:12,80,0.0,00:00,121.4
0 days 00:15:13,81,0.0,00:00,121.58
0 days 00:15:14,81,0.0,00:00,121.58
0 days 00:15:15,81,0.0,00:00,121.58
0 days 00:15:16,81,0.0,00:00,121.58
0 days 00:15:17,81,0.0,00:00,121.58
0 days 00:15:18,81,0.0,00:00,121.58
0 days 00:15:19,81,0.0,00:00,121.58
0 days 00:15:20,81,0.0,00:00,121.58
0 days 00:15:21,82,0.0,00:00,121.58
0 days 00:15:22,82,0.0,00:00,121.58
0 days 00:15:23,83,0.0,00:00,121.58
0 days 00:15:24,83,0.0,00:00,121.58
0 days 00:15:25,84,0.0,00:00,121.58
0 days 00:15:26,83,0.0,00:00,121.58
0 days 00:15:27,81,0.0,00:00,121.58
0 days 00:15:28,80,0.0,00:00,121.58
0 days 00:15:29,80,0.0,00:00,121.58
0 days 00:15:30,80,0.0,00:00,121.58
0 days 00:15:31,80,0.0,00:00,121.58
0 days 00:15:32,81,0.0,00:00,121.58
0 days 00:15:33,81,0.0,00:00,121.58
0 days 00:15:34,81,0.0,00:00,121.58
0 days 00:15:35,81,0.0,00:00,121.58
0 days 00:15:36,81,0.0,00:00,121.58
0 days 00:15:37,81,0.0,00:00,121.58
0 days 00:15:38,81,0.0,00:00,121.58
0 days 00:15:39,81,0.0,00:00,121.58
0 days 00:15:40,81,0.0,00:00,121.58
0 days 00:15:41,81,0.0,00:00,121.58
0 days 00:15:42,80,0.0,00:00,121.58
0 days 00:15:43,80,0.0,00:00,121.58
0 days 00:15:44,80,0.0,00:00,121.58
0 days 00:15:45,80,0.0,00:00,121.58
0 days 00:15:46,80,0.0,00:00,121.58
0 days 00:15:47,80,0.0,00:00,121.58
0 days 00:15:48,80,0.0,00:00,121.58
0 days 00:15:49,80,0.0,00:00,121.58
0 days 00:15:50,80,0.0,00:00,121.58
0 days 00:15:51,80,0.0,00:00,121.58
0 days 00:15:52,80,0.0,00:00,121.58
0 days 00:15:53,81,0.0,00:00,121.58
0 days 00:15:54,81,0.0,00:00,121.58
0 days 00:15:55,81,0.0,00:00,121.58
0 days 00:15:56,81,0.0,00:00,121.58
0 days 00:15:57,81,0.0,00:00,121.58
0 days 00:15:58,81,0.0,00:00,121.58
0 days 00:15:59,81,0.0,00:00,121.58
0 days 00:16:00,81,0.0,00:00,121.58
0 days 00:16:01,81,0.0,00:00,121.58
0 days 00:16:02,81,0.0,00:00,121.58
0 days 00:16:03,81,0.0,00:00,121.58
0 days 00:16:04,82,0.0,00:00,121.58
0 days 00:16:05,81,0.0,00:00,121.58
0 days 00:16:06,81,0.0,00:00,121.58
0 days 00:16:07,81,0.0,00:00,121.58
0 days 00:16:08,81,0.0,00:00,121.58
0 days 00:16:09,81,0.0,00:00,121.58
0 days 00:16:10,81,0.0,00:00,121.58
0 days 00:16:11,81,0.0,00:00,121.58
0 days 00:16:12,82,0.0,00:00,121.58
0 days 00:16:13,82,0.0,00:00,121.58
0 days 00:16:14,83,0.0,00:00,121.58
0 days 00:16:15,83,0.0,00:00,121.58
0 days 00:16:16,82,0.0,00:00,121.58
0 days 00:16:17,82,0.0,00:00,121.58
0 days 00:16:18,82,0.0,00:00,121.58
0 days 00:16:19,81,0.0,00:00,121.58
0 days 00:16:20,81,0.0,00:00,121.58
0 days 00:16:21,81,0.1,559:11,122.34
0 days 00:16:22,81,0.1,00:00,123.1
0 days 00:16:23,81,0.0,00:00,123.87
0 days 00:16:24,81,0.0,00:00,124.33
0 days 00:16:25,81,0.0,00:00,124.33
0 days 00:16:26,81,0.0,00:00,124.33
0 days 00:16:27,82,0.0,00:00,124.33
0 days 00:16:28,82,0.0,00:00,124.33
0 days 00:16:29,83,0.0,00:00,124.33
0 days 00:16:30,83,0.0,00:00,124.33
0 days 00:16:31,83,0.0,00:00,124.33
0 days 00:16:32,84,0.0,00:00,124.33
0 days 00:16:33,83,0.0,00:00,124.33
0 days 00:16:34,83,0.0,00:00,124.33
0 days 00:16:35,83,0.0,00:00,124.33
0 days 00:16:36,83,0.0,00:00,124.33
0 days 00:16:37,84,0.0,00:00,124.33
0 days 00:16:38,84,0.0,00:00,124.33
0 days 00:16:39,84,0.0,00:00,124.33
0 days 00:16:40,84,0.0,00:00,124.33
0 days 00:16:41,84,0.0,00:00,124.33
0 days 00:16:42,85,0.0,00:00,124.33
0 days 00:16:43,85,0.0,00:00,124.33
0 days 00:16:44,84,0.0,00:00,124.33
0 days 00:16:45,84,0.0,00:00,124.33
0 days 00:16:46,84,0.0,00:00,124.33
0 days 00:16:47,84,0.0,00:00,124.33
0 days 00:16:48,84,0.0,00:00,124.33
0 days 00:16:49,85,0.0,00:00,124.33
0 days 00:16:50,85,0.0,00:00,124.33
0 days 00:16:51,85,0.0,00:00,124.33
0 days 00:16:52,84,0.0,00:00,124.33
0 days 00:16:53,84,0.0,00:00,124.33
0 days 00:16:54,84,0.0,00:00,124.33
0 days 00:16:55,84,0.0,00:00,124.33
0 days 00:16:56,84,0.0,00:00,124.33
0 days 00:16:57,84,0.0,00:00,124.33
0 days 00:16:58,84,0.0,00:00,124.33
0 days 00:16:59,84,0.0,00:00,124.33
0 days 00:17:00,84,0.0,00:00,124.33
0 days 00:17:01,85,0.0,00:00,124.33
0 days 00:17:02,85,0.0,00:00,124.33
0 days 00:17:03,85,0.0,00:00,124.33
0 days 00:17:04,84,0.0,00:00,124.33
0 days 00:17:05,84,0.0,00:00,124.33
0 days 00:17:06,84,0.0,00:00,124.33
0 days 00:17:07,84,0.0,00:00,124.33
0 days 00:17:08,84,0.0,00:00,124.33
0 days 00:17:09,84,0.0,00:00,124.33
0 days 00:17:10,85,0.0,00:00,124.33
0 days 00:17:11,85,0.0,00:00,124.33
0 days 00:17:12,84,0.0,00:00,124.33
0 days 00:17:13,83,0.0,00:00,124.33
0 days 00:17:14,83,0.0,00:00,124.33
0 days 00:17:15,83,0.0,00:00,124.33
0 days 00:17:16,83,0.0,00:00,124.33
0 days 00:17:17,84,0.0,00:00,124.33
0 days 00:17:18,84,0.0,00:00,124.33
0 days 00:17:19,84,0.0,00:00,124.33
0 days 00:17:20,84,0.0,00:00,124.33
0 days 00:17:21,84,0.0,00:00,124.33
0 days 00:17:22,83,0.0,00:00,124.33
0 days 00:17:23,83,0.0,00:00,124.33
0 days 00:17:24,82,0.0,00:00,124.33
0 days 00:17:25,82,0.0,00:00,124.33
0 days 00:17:26,82,0.0,00:00,124.33
0 days 00:17:27,83,0.0,00:00,124.33
0 days 00:17:28,83,0.0,00:00,124.33
0 days 00:17:29,84,0.0,00:00,124.33
0 days 00:17:30,84,0.0,00:00,124.33
0 days 00:17:31,84,0.0,00:00,124.33
0 days 00:17:32,84,0.0,00:00,124.33
0 days 00:17:33,84,0.0,00:00,124.33
0 days 00:17:34,84,0.0,00:00,124.33
0 days 00:17:35,84,0.0,00:00,124.33
0 days 00:17:36,83,0.0,00:00,124.33
0 days 00:17:37,82,0.0,00:00,124.33
0 days 00:17:38,81,0.0,00:00,124.33
0 days 00:17:39,81,0.0,00:00,124.33
0 days 00:17:40,82,0.0,00:00,124.33
0 days 00:17:41,82,0.0,00:00,125.09
0 days 00:17:42,82,0.0,00:00,125.85
0 days 00:17:43,82,0.0,00:00,126.61
0 days 00:17:44,81,0.0,00:00,126.94
0 days 00:17:45,81,0.0,00:00,126.94
0 days 00:17:46,81,0.0,00:00,126.94
0 days 00:17:47,81,0.0,00:00,126.94
0 days 00:17:48,81,0.0,00:00,126.94
0 days 00:17:49,82,0.0,00:00,126.94
0 days 00:17:50,82,0.0,00:00,126.94
0 days 00:17:51,82,0.2,257:04,127.19
0 days 00:17:52,82,0.2,304:25,127.57
0 days 00:17:53,82,0.1,456:37,127.9
0 days 00:17:54,82,0.1,00:00,127.9
